UNIQUE_ID,PRODUCT_NAME,COMPANY,PRODUCT_TYPE,PRODUCT_CATEGORY,COST_PRICE,SELLING_PRICE,QUANTITY_DEMANDED,PROFIT,PROFIT_PERCENT,NET_PROFIT
GSK161,"S jowar, 1kg",S,foodgrains&spices,cereals,63,70,544,7,11.11111111,3808
GSK162,Z pet food,Z,pet food,pet food,450,500,200,50,11.11111111,10000
GSK163,S Dishwasher Gel 2L,S,household,dishwasher,277.4,365,223,87.6,31.57894737,19534.8
GSK164,A orange nailpolish,A,beauty products,nailpolish,404.9,485.88,111,80.98,20,8988.78
GSK165,"J Raisins,100g",J,Packed Food,Dry Fruits,40,46,568,6,15,3408
GSK166,S mosquitto repellent,S,household,repellents,218.88,288,311,69.12,31.57894737,21496.32
GSK167,"G Red chilly, 100 g",G,foodgrains&spices,Whole Spices,19.14,29,571,9.86,51.51515152,5630.06
GSK168,"T Rajma, 1kg",T,foodgrains&spices,cereals,153,170,464,17,11.11111111,7888
GSK169,A sanitary napkins,A,beauty products,bodycare,107.5,129,101,21.5,20,2171.5
GSK170,S baby milk,S,baby product,babycare,480,600,300,120,25,36000
GSK171,"G Matar Dal, 1kG",G,foodgrains&spices,pulses(dal),81,90,528,9,11.11111111,4752
GSK172,D Soap,D,beauty products,bodycare,95,114,353,19,20,6707
GSK173,"E handwash, 750 ml",E,hygiene,handwash,194.56,256,555,61.44,31.57894737,34099.2
GSK174,A Moisturizer,A,beauty products,bodycare,555.82,666.984,82,111.164,20,9115.448
GSK175,"I Apricots,100g",I,Packed Food,Dry Fruits,133,152.95,494,19.95,15,9855.3
GSK176,"Z Organic Cumin, 100 g",Z,Organic food,Whole Spices,73.08,126,52,52.92,72.4137931,2751.84
GSK177,S green nailpolish,S,beauty products,nailpolish,401.6,481.92,110,80.32,20,8835.2
GSK178,A beauty Powder,A,beauty products,bodycare,193.5,232.2,101,38.7,20,3908.7
GSK179,"S Red chilly, 100 g",S,foodgrains&spices,Whole Spices,13.2,20,580,6.8,51.51515152,3944
GSK180,"J Organic Dried Cranberries,100g",J,Organic food,Dry Fruits,284.2,490,55,205.8,72.4137931,11319
GSK181,"G Organic Chola Dal, 1kg",G,Organic food,pulses(dal),113.68,196,7,82.32,72.4137931,576.24
GSK182,"E soft drink  coke, 1L",E,beverage,soft drinks,72.96,96,302,23.04,31.57894737,6958.08
GSK183,"J Organic Ginger Candies,100g",J,Packed Food,Dry Fruits,130,149.5,496,19.5,15,9672
GSK184,"G Tamarind, 100 g",G,foodgrains&spices,Whole Spices,32.34,49,551,16.66,51.51515152,9179.66
GSK185,"M disinfectant liquid, 1L",M,hygiene,disinfectant,339.72,447,142,107.28,31.57894737,15233.76
GSK186,S red lipstick,S,beauty products,lipstick,516,619.2,15,103.2,20,1548
GSK187,D facewash,D,beauty products,bodycare,163.4,196.08,353,32.68,20,11536.04
GSK188,"N strawberry flavour Cornflakes, 1kg",N,Packed Food,Dry Fruits,567,652.05,146,85.05,15,12417.3
GSK189,"S disinfectant spray,250 ml",S,hygiene,disinfectant,173.28,228,451,54.72,31.57894737,24678.72
GSK190,"M handwash, 500 ml",M,hygiene,handwash,195.32,257,552,61.68,31.57894737,34047.36
GSK191,"Z Organic Figs,100g",Z,Organic food,Dry Fruits,362.96,625.8,65,262.84,72.41569319,17084.6
GSK192,"Z Organic Groundnut, 1kg",Z,Organic food,cereals,308.56,532,22,223.44,72.4137931,4915.68
GSK193,"I Walnuts,100g",I,Packed Food,Dry Fruits,183,210.45,454,27.45,15,12462.3
GSK194,"I Organic Hazel Nuts,100g",I,Packed Food,Dry Fruits,235,270.25,412,35.25,15,14523
GSK195,"G G roundnut, 1kG",G,foodgrains&spices,cereals,234,260,392,26,11.11111111,10192
GSK196,"E soft drink litchi flavour, 1L",E,beverage,soft drinks,72.96,96,302,23.04,31.57894737,6958.08
GSK197,"S Pasteurised butter, 500 g Carton",S,dairy products,butter,270,300,360,30,11.11111111,10800
GSK198,A Toothbrush,A,hygiene,oral care,171,225,353,54,31.57894737,19062
GSK199,"Z Organic Tamarind, 100 g",Z,Organic food,Whole Spices,56.84,98,20,41.16,72.4137931,823.2
GSK200,"C Front load Detergent, 2 kg",C,household,detergent,490.2,645,180,154.8,31.57894737,27864
GSK201,"S Turmeric, 100 g",S,foodgrains&spices,Powdered Spices,19.8,30,570,10.2,51.51515152,5814
GSK202,"J orange flavour Oats, 1kg",J,Packed Food,Dry Fruits,320,368,344,48,15,16512
GSK203,"N mustard oil,1L",N,foodgrains&spices,edible oil,220.5,245,404,24.5,11.11111111,9898
GSK204,"G Organic  Red chilly powder, 100 g",G,Organic food,Powdered Spices,56.84,98,25,41.16,72.4137931,1029
GSK205,"A Chocolate Drink, 2x500 g (Multipack)",A,beverage,healthdrink,380,500,150,120,31.57894737,18000
GSK206,"C Fabric Care Wash, 1.5kg",C,household,detergent,329.08,433,200,103.92,31.57894737,20784
GSK207,"G Organic Cardamom, 100 g",G,Organic food,Whole Spices,259.84,448,2,188.16,72.4137931,376.32
GSK208,S pink nailpolish,S,beauty products,nailpolish,401.6,481.92,110,80.32,20,8835.2
GSK209,"C hand sanitizer,350 ml",C,hygiene,sanitizer,136.4,220,990,83.6,61.29032258,82764
GSK210,S blue nailpolish,S,beauty products,nailpolish,401.6,481.92,110,80.32,20,8835.2
GSK211,A Hair oil,A,beauty products,haircare,417.36,500.832,122,83.472,20,10183.584
GSK212,"Z Ginger Candies,100g",Z,Packed Food,Dry Fruits,155,178.25,476,23.25,15,11067
GSK213,"A Toothpaste, 100g",A,hygiene,oral care,72.2,95,403,22.8,31.57894737,9188.4
GSK214,"G Organic Fennel,100 g",G,Organic food,Whole Spices,48.72,84,25,35.28,72.4137931,882
GSK215,A Body Lotion,A,beauty products,bodycare,279.5,335.4,201,55.9,20,11235.9
GSK216,"T CholT Dal, 1kg",T,foodgrains&spices,pulses(dal),108,120,504,12,11.11111111,6048
GSK217,D 3ply mask,D,hygiene,mask,14.4,18,1020,3.6,25,3672
GSK218,"J Apricots,100g",J,Packed Food,Dry Fruits,100,115,400,15,15,6000
GSK219,"J Organic Dates,100g",J,Organic food,Dry Fruits,267.96,462,87,194.04,72.4137931,16881.48
GSK220,"T Red chilly powder, 100 g",T,foodgrains&spices,Powdered Spices,36.3,55,545,18.7,51.51515152,10191.5
GSK221,A pink lipstick,A,beauty products,lipstick,537.5,645,101,107.5,20,10857.5
GSK222,"N white oil ,1L",N,foodgrains&spices,edible oil,270,300,360,30,11.11111111,10800
GSK223,"H handwash, 750 ml",H,hygiene,handwash,191.52,252,555,60.48,31.57894737,33566.4
GSK224,"T Tamarind, 100 g",T,foodgrains&spices,Whole Spices,29.7,45,555,15.3,51.51515152,8491.5
GSK225,S PRO ACTIVE health drink  2x400 g Multipack,S,beverage,healthdrink,912,1200,10,288,31.57894737,2880
GSK226,"Z Organic Cardamom, 100 g",Z,Organic food,Whole Spices,276.08,476,6,199.92,72.4137931,1199.52
GSK227,"G chocolate flavour Cornflakes, 1kg",G,Packed Food,Dry Fruits,513,589.95,190,76.95,15,14620.5
GSK228,C 3ply mask,C,hygiene,mask,13.6,17,1050,3.4,25,3570
GSK229,"S Rajma, 1kg",S,foodgrains&spices,cereals,153,170,464,17,11.11111111,7888
GSK230,B facewash,B,beauty products,bodycare,162.64,195.168,354,32.528,20,11514.912
GSK231,"J Cashew Nuts,100g",J,Packed Food,Dry Fruits,150,172.5,480,22.5,15,10800
GSK232,"J Organic Cashew Nuts,100g",J,Packed Food,Dry Fruits,180,207,456,27,15,12312
GSK233,"I Organic Apricots,100g",I,Organic food,Dry Fruits,280.14,483,22,202.86,72.4137931,4462.92
GSK234,S Body Lotion,S,beauty products,bodycare,258,309.6,220,51.6,20,11352
GSK235,"S Baby Pink Shampoo, 650 ml Bottle",S,beauty products,haircare,338.96,406.752,133,67.792,20,9016.336
GSK236,B orange lipstick,B,beauty products,lipstick,576.2,691.44,10,115.24,20,1152.4
GSK237,S Toothbrush,S,hygiene,oral care,101.84,134,344,32.16,31.57894737,11063.04
GSK238,"J Ginger Candies,100g",J,Packed Food,Dry Fruits,100,115,520,15,15,7800
GSK239,S 3ply mask,S,hygiene,mask,16,20,989,4,25,3956
GSK240,S mosquitto coil,S,household,repellents,142.88,188,311,45.12,31.57894737,14032.32
GSK241,B aftershave,B,beauty products,bodycare,247.25,296.7,221,49.45,20,10928.45
GSK242,"S Matar Dal, 1kg",S,foodgrains&spices,pulses(dal),72,80,536,8,11.11111111,4288
GSK243,"I Hazel Nuts,100g",I,Packed Food,Dry Fruits,233,267.95,380,34.95,15,13281
GSK244,"J Organic Apricots,100g",J,Packed Food,Dry Fruits,120,138,504,18,15,9072
GSK245,A Masks,A,hygiene,mask,260,325,632,65,25,41080
GSK246,"I Organic Apricots,100g",I,Packed Food,Dry Fruits,125,143.75,500,18.75,15,9375
GSK247,"N orange flavour Oats, 1kg",N,Packed Food,Dry Fruits,327,376.05,338,49.05,15,16578.9
GSK248,"Z Organic Walnuts,100g",Z,Organic food,Dry Fruits,354.84,611.8,76,256.96,72.41573667,19528.96
GSK249,"G hand sanitizer,350 ml",G,hygiene,sanitizer,133.3,215,997,81.7,61.29032258,81454.9
GSK250,"S soft drink orange flavour, 1L",S,beverage,soft drinks,68.4,90,310,21.6,31.57894737,6696
GSK251,"J Organic Hazel Nuts,100g",J,Organic food,Dry Fruits,349.16,602,56,252.84,72.4137931,14159.04
GSK252,"M disinfectant spray,250 ml",M,hygiene,disinfectant,172.52,227,452,54.48,31.57894737,24624.96
GSK253,"G Pasteurised butter, 500 g Carton",G,dairy products,butter,271,311,361,40,14.7601476,14440
GSK254,B beauty Powder,B,beauty products,bodycare,203.82,244.584,292,40.764,20,11903.088
GSK255,A 3ply mask,A,hygiene,mask,16,20,990,4,25,3960
GSK256,S Eyeliner,S,beauty products,eye-makeup,197.8,237.36,100,39.56,20,3956
GSK257,"S baby corn, 100g",G,foodgrains&spices,grains,50,65,200,15,30,3000
GSK258,S beauty Powder,S,beauty products,bodycare,172,206.4,120,34.4,20,4128
GSK259,"T Bay Leaf, 100 g",T,foodgrains&spices,Whole Spices,23.1,35,565,11.9,51.51515152,6723.5
GSK260,"G orange flavour Cornflakes, 1kg",G,Packed Food,Dry Fruits,523,601.45,182,78.45,15,14277.9
GSK261,"Z Organic Cashew Nuts,100g",Z,Organic food,Dry Fruits,314.24,541.8,20,227.56,72.41598778,4551.2
GSK262,"B hand sanitizer,350 ml",B,hygiene,sanitizer,130.2,210,990,79.8,61.29032258,79002
GSK263,"B handwash, 750 ml",B,hygiene,handwash,193.8,255,555,61.2,31.57894737,33966
GSK264,B mosquitto coil,B,household,repellents,117.8,155,333,37.2,31.57894737,12387.6
GSK265,"I chocolate flavour Oats, 1kg",I,Packed Food,Dry Fruits,315,362.25,348,47.25,15,16443
GSK266,B blue nailpolish,B,beauty products,nailpolish,407.62,489.144,112,81.524,20,9130.688
GSK267,A room freshner,A,household,freshners,266,350,230,84,31.57894737,19320
GSK268,"G Organic Rice,1kg",G,Organic food,rice,56.84,98,90,41.16,72.4137931,3704.4
